# Table containing rPerf for all IBM servers
# http://www-03.ibm.com/systems/power/hardware/reports/system_perf.html
#
# Changes
#       v01: updated frequency from 3.20 to 3.22 for 3 x p750
#	v02: updated frequency from P7 3.7 to 3.72 
#	v03: updated by CPW collumn
#	v04: updated by new POWER7+ servers 770
#       v05: updated by old POWER5 and POWER7+ 710-760
#       v06: added 9131-52A : p5-520: P5+/2  :  1.9    :  11.16    :
#       v07: update as per latest Oct 2013 data : POB03022USEN.PDF
#       v08: updated by April 2014 data : POB03046USEN.PDF
#       v09: updated by Oct 2014: POO03017USEN.PDF
#       v10: updated by Nov 2014: POB03046USEN.PDF
#       v11: April 28, 2015: POO03017USEN.PDF
#       v12: June 2, 2015: POO03017USEN.PDF + enhanced about SMT
#       v13: March 23, 2016: POO03017USEN.PDF
#       v14: Oct 11, 2016: POO03017USEN.PDF
#       v15: Jun, 2017: added PFlex*
#       v16: Feb, 2018: POWER9
#       v17: Apr, 2018: POWER9
#       v18: Aug, 2018: fix: 3 7895-42X lines had wrong model, it should be 7895-43X
#       v19: August 7, 2018
#       v20: Oct 8, 2019
#       v21: July 14, 2020
#       v22: April 13, 2021
#       v23: Sep 8, 2021
#       v24: July 12, 2022
#       v25: Feb 14, 2023
#
# cut -c1-37 rperf_table.txt | egrep -v "^#" | sort | uniq
#
# Model  : Type :  CPU    :  GHz    :  
7778-23X : JS23 :  P6+/4  :  4.2    :
7778-23X : JS43 :  P6+/8  :  4.2    :
7891-73X : PS703:  P7/16  :  2.4    :
7891-74X : PS704:  P7/32  :  2.4    :
7895-22X : p260 :  P7/16  :  3.2    :
7895-22X : p260 :  P7/16  :  3.5    :
7895-22X : p260 :  P7/8   :  3.3    :
7895-23X :PFlex260:P7/16  :  3.2    :
7895-23X :PFlex260:P7/16  :  3.5    :
7895-23X :PFlex260:P7+/16 :  3.6    :
7895-23X :PFlex260:P7+/16 :  4.1    :
7895-23X :PFlex260:P7+/4  :  4.0    :
7895-23X :PFlex260:P7/8   :  3.3    :
7895-23X :PFlex260:P7+/8  :  4.0    :
7895-42X :PFlex460:P7/16  :  3.3    :
7895-42X :PFlex460:P7/32  :  3.2    :
7895-42X :PFlex460:P7/32  :  3.5    :
7895-43X :PFlex460:P7+/16 :  4.0    :
7895-43X :PFlex460:P7+/32 :  3.6    :
7895-43X :PFlex460:P7+/32 :  4.1    :
7954-24X :PFlex270:P7+/24 :  3.1    :
7954-24X :PFlex270:P7+/24 :  3.4    :
7998-60X : JS12 :  P6/2   :  3.8    :
7998-61X : JS22 :  P6/4   :  4.0    :
8202-E4B : 720  :  P7/4   :  3.0    :
8202-E4B : 720  :  P7/6   :  3.0    :
8202-E4B : 720  :  P7/8   :  3.0    :
8202-E4C : 720  :  P7/4   :  3.0    :
8202-E4C : 720  :  P7/6   :  3.0    :
8202-E4C : 720  :  P7/8   :  3.0    :
8202-E4D : 720  :  P7+/4  :  3.6    :
8202-E4D : 720  :  P7+/6  :  3.6    :
8202-E4D : 720  :  P7+/8  :  3.6    :
8203-E4A : 520  :  P6/1   :  4.2    :
8203-E4A : 520  :  P6/2   :  4.2    :
8203-E4A : 520  :  P6+/2  :  4.7    :
8203-E4A : 520  :  P6/4   :  4.2    :
8203-E4A : 520  :  P6+/4  :  4.7    :
8204-E8A : 550  :  P6/2   :  3.5    :
8204-E8A : 550  :  P6/2   :  4.2    :
8204-E8A : 550  :  P6+/2  :  5.0    :
8204-E8A : 550  :  P6/4   :  3.5    :
8204-E8A : 550  :  P6/4   :  4.2    :
8204-E8A : 550  :  P6+/4  :  5.0    :
8204-E8A : 550  :  P6/6   :  3.5    :
8204-E8A : 550  :  P6/6   :  4.2    :
8204-E8A : 550  :  P6+/6  :  5.0    :
8204-E8A : 550  :  P6/8   :  3.5    :
8204-E8A : 550  :  P6/8   :  4.2    :
8204-E8A : 550  :  P6+/8  :  5.0    :
8205-E6B : 740  :  P7/12  :  3.7    :
8205-E6B : 740  :  P7/16  :  3.5    :
8205-E6B : 740  :  P7/4   :  3.3    :
8205-E6B : 740  :  P7/4   :  3.7    :
8205-E6B : 740  :  P7/6   :  3.7    :
8205-E6B : 740  :  P7/8   :  3.3    :
8205-E6B : 740  :  P7/8   :  3.5    :
8205-E6B : 740  :  P7/8   :  3.7    :
8205-E6C : 740  :  P7/12  :  3.7    :
8205-E6C : 740  :  P7/16  :  3.5    :
8205-E6C : 740  :  P7/4   :  3.3    :
8205-E6C : 740  :  P7/4   :  3.7    :
8205-E6C : 740  :  P7/6   :  3.7    :
8205-E6C : 740  :  P7/8   :  3.3    :
8205-E6C : 740  :  P7/8   :  3.5    :
8205-E6C : 740  :  P7/8   :  3.7    :
8205-E6D : 740  :  P7+/12 :  4.2    :
8205-E6D : 740  :  P7+/16 :  3.6    :
8205-E6D : 740  :  P7+/16 :  4.2    :
8205-E6D : 740  :  P7+/6  :  4.2    :
8205-E6D : 740  :  P7+/8  :  3.6    :
8205-E6D : 740  :  P7+/8  :  4.2    :
8231-E1C : 710  :  P7/4   :  3.0    :
8231-E1C : 710  :  P7/4   :  3.7    :
8231-E1C : 710  :  P7/6   :  3.7    :
8231-E1C : 710  :  P7/8   :  3.5    :
8231-E1D : 710  :  P7+/4  :  3.6    :
8231-E1D : 710  :  P7+/6  :  4.2    :
8231-E1D : 710  :  P7+/8  :  4.2    :
8231-E2B : 710  :  P7/4   :  3.0    :
8231-E2B : 710  :  P7/4   :  3.7    :
